Contig,SCQ,WFS,PL,XHBW,SSG,XXZ,DK,LMW,ZGE,BC,FJC,TGDQ,LK,LJ,KL,HHKSD,HHK
ViromevOTU72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU77,0,0,0,0,441.4018522,51.96892271,439.3966671,613.4715513,1082.89245,0,0,145.5941833,873.3991015,0,71.3839902,75.62226038,514.9400419
ViromevOTU78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU96,0,0,0,0,0,0,0,0,0,0,0,0,0,277.2842436,252.9576124,246.8367688,66.30446495
ViromevOTU97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU104,65.37875028,0,666.5918793,422.5571049,543.9414301,0,383.562885,343.8669089,47.47737999,0,0,0,65.19741228,0,0,0,0
ViromevOTU105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU109,106.2578977,0,0,0,0,415.3597912,74.0939655,62.82794431,0,0,0,0,0,4764.495337,1310.586904,2317.083947,397.1615831
ViromevOTU110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU120,0,0,0,0,0,100.1793168,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU122,0,0,0,0,0,0,0,0,0,0,0,0,195.8121391,0,0,0,0
ViromevOTU123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU137,0,0,92.4073982,0,0,0,0,0,31.3563062,0,0,0,380.9746429,0,0,0,104.3339445
ViromevOTU138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU139,0,0,0,0,0,0,0,0,377.3243219,0,0,0,115.6644375,0,0,0,0
ViromevOTU140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU141,0,0,0,0,0,34.64740908,0,0,0,0,0,0,0,118.2181939,85.95072556,53.31940536,0
ViromevOTU142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU146,1981.353278,2238.965637,92660.16677,39686.69381,11450.62968,1573.463232,7966.868283,13839.00501,13813.86286,0,0,173.1028003,2779.908695,103.1564805,157.0447766,187.0326633,1046.720765
ViromevOTU147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.9445989,0
ViromevOTU148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU152,0,0,0,0,0,0,0,0,0,0,0,51.26835651,0,0,0,0,0
ViromevOTU153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU158,0,0,0,0,0,0,0,0,0,0,0,0,26.78966355,0,0,0,0
ViromevOTU159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU161,0,0,0,0,0,0,0,0,0,0,0,0,226.3716914,0,0,0,0
