Family	MDW	SCQ	WFS	PL	XHBW	SSG	XXZ	DK	LMW	ZGE	BC	FJC	TGDQ	LK	LJ	KL	HHK	HHKSD	TYQ	HL	KSH	WHBJ	SWD	BMS	LNCS	QLP	WSQS	MD	SCQ	WFS	PL	XHBW	SSG	XXZ	DK	LMW	ZGE	BC	FJC	TGDQ	LK	LJ	KL	HHK	HHKSD	TYQ	HL	KSH	WHBJ	SWD	BMS	LNCS	QLP	WSQS	MDS	SCQ	WFS	PL	XHBW	SSG	XXZ	DK	LMW	ZGE	BC	FJC	TGDQ	LK	LJ	KL	HHK	HHKSD	TYQ	HL	KSH	WHBJ	SWD	BMS	LNCS	QLP	WSQS
Mesyanzhinovviridae	0	5.660412957	5.363129742	5.339878452	4.591233574	4.678832951	2.211414595	3.194861148	2.47821714	2.977404084	6.530922527	7.445476226	0.73628703	3.330523013	0.944301836	2.69974772	1.33943856	0	1.385815904	0	9.450609569	0	0	7.330711483	9.002716833	4.327781147	3.375937941	0	8.63479473	7.013116022	5.200769456	4.694495225	1.326551653	0	0	0.359263916	0	5.626199108	6.197071131	5.013830723	2.562147006	0	0	2.276076517	0.618969461	2.458122375	9.91343986	5.663903559	8.179540573	7.862434808	4.532162049	3.048907997	2.946201223	5.137405427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schitoviridae	6.607132653	11.11353348	11.80571633	9.111764263	8.993206026	9.130749713	7.084103953	7.686902674	8.764812845	10.87261295	11.37050172	12.97737065	11.42649538	8.992592286	8.909986342	8.838772755	9.598661993	8.140302807	10.45061628	11.11628748	10.57710809	11.22952185	9.734008265	11.36877401	14.22531661	10.31682842	7.209501313	11.84180472	5.448864467	6.340673128	10.25824301	8.90043323	7.089238714	3.609934019	6.322748322	6.515222373	6.993505116	10.49711932	11.23120686	8.703929628	9.737481169	7.246393785	7.208434288	9.913660221	7.740162834	6.590641455	11.59966866	7.225601292	9.666809847	10.44877785	7.436770528	5.638250877	3.553553201	5.636421189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.63090886	0	0	0	0	0	10.08601643	0
Steigviridae	0	0	0	0.4878794	0.431098158	0.090466486	0	0	0.926460416	0.473707525	6.812130135	0.802417271	0	0	0.138212854	0	0	0	0	7.175477929	0	0	0	0.416808727	10.30861962	0	0.832025483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Straboviridae	8.640199471	8.296672273	6.514611943	8.721243416	9.122398992	9.142544177	10.18443976	8.717060932	8.545536988	10.7024382	8.858928119	11.23490855	10.62061533	9.993052103	9.752933149	9.864074987	10.29759495	9.209646544	8.001623083	10.58625115	8.700594834	9.808236173	8.452097561	11.33156935	10.84950035	10.54102909	8.071184182	9.94066706	5.238258999	3.787475286	5.337236047	5.082746523	6.990311127	6.327037935	6.799474976	7.426693355	8.99763992	10.7730628	5.868611789	10.21063751	8.184260705	5.666729954	5.783514595	7.542862331	5.923702081	13.05655107	4.482909729	2.229707061	5.879243234	8.89806774	7.226817389	10.33657266	8.014999578	7.056098959	0	0	0	2.863079888	0	0	0	0	0	0	0	0	0	5.242250995	5.8211493	4.690715207	0	3.477854544	0	8.00696159	0	0	0	1.321244376	0	0	2.307048206
Vertoviridae	0	0	0	0.257982623	0	0	0.350035173	0.233036213	4.647231028	6.163325167	0	8.18212657	4.231702049	6.483317787	5.906581297	6.353261664	6.572102359	6.064682284	0	0	0	1.014267135	1.450073998	4.434675559	0	3.823957645	1.343209492	0	0	0	1.201974861	0	0.109282417	0	2.865544722	6.340912662	8.338326312	0	9.198399009	2.313229026	6.883760649	3.259890754	4.815952783	6.275824489	4.549407204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vilmaviridae	7.782906779	3.388567122	2.113306645	3.298244719	2.49111726	2.518869556	0	0	0	0	0	7.574875183	7.471082324	3.015725814	2.038362042	2.335356539	2.627824853	2.851503977	0	0	0.881346206	1.264420324	6.282180215	6.830669125	0.024989214	8.659568907	0	3.333122079	1.070852619	0	5.618220461	5.804810725	6.615722285	6.342204056	5.451261096	6.092978713	4.75326695	0.346023964	2.416782207	2.719565312	6.121347729	4.993163126	5.027529908	6.275479591	4.82097074	1.280293523	0	0.450694599	1.128031673	4.407980792	0	0	0	2.457381953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Winoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0.6225511	2.965701975	3.26282332	2.887190139	3.391135563	2.085196984	0	0	0	0	1.102432231	0	0	7.37573241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zierdtviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.476622581	1.247117792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.841597035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zobellviridae	8.450458309	10.19818928	9.451239928	9.419824466	9.965780879	10.0571915	10.23167733	10.79825015	12.26548785	13.92785572	10.8398553	11.61774767	11.74364984	10.32123316	10.48906106	10.70183118	11.12218394	10.26880314	10.43796316	11.6135681	9.937860991	11.35111503	9.16481056	11.7791904	13.78278422	10.28541581	10.50390987	8.656588229	4.604578209	2.683698514	7.450878846	7.255224813	8.824376232	6.84573504	8.43231975	9.242811738	11.03054143	9.992574436	13.16872181	11.40784906	12.47646226	9.093803264	9.287553079	12.09291979	10.11301844	10.15324693	1.635478803	8.282917132	10.21789528	10.42583552	10.23504025	4.005496618	8.606279138	10.37343153	0	0	0	2.001551908	0	0	0	0	0.706665198	0	3.104316714	1.391027266	0.499229693	7.237301917	5.805565972	7.040072254	8.508901279	7.342169407	0	8.701878627	9.261410523	2.149200066	0.562721638	3.505951422	0	0	5.542646583
Unclassified Caudoviricetes	20.0043249	20.25955607	19.57073598	19.88780607	20.1096558	20.14341154	19.3353205	19.30423863	19.52886953	21.48296689	21.48913078	20.80803025	21.25343351	20.2562548	20.11939822	20.26556067	20.66822212	19.64942256	20.39144634	21.20376106	19.09089113	20.87283573	20.461065	21.48131074	23.00188422	21.22784904	18.95534275	21.63134577	19.30064544	18.50615217	21.18807343	19.79606285	20.11130637	19.44278999	19.55596129	19.97537378	21.0269809	22.24383167	22.68000177	21.38569276	21.4444732	19.66145895	19.72700118	20.78417618	19.92892423	20.706457	20.72071398	18.96892578	20.01957485	21.59629931	20.24766897	20.0679949	20.85238264	20.66796907	13.15210969	12.11711494	12.99439842	14.3110822	13.83315424	17.05201334	12.62162736	14.80833554	14.39972704	13.60034488	13.95163648	13.14464047	12.87324465	16.14040732	15.63128028	16.02465318	16.78916248	16.26389628	13.05075176	17.19791197	15.11637777	13.31934986	15.08995417	13.42176663	12.76558246	15.23998886	15.07882986
