Contig,SCQ,WFS,PL,XHBW,SSG,XXZ,DK,LMW,ZGE,BC,FJC,TGDQ,LK,LJ,KL,HHKSD,HHK
SedimentvOTU50,0,0,0,0,0,0,0,0,0,0,0,0,91.63127801,176.3264449,438.3159545,498.8673225,1799.468205
SedimentvOTU51,0,0,0,0,0,0,0,0,0,0,0,0,0,126.350501,554.0792003,71.32959738,491.3631469
SedimentvOTU52,0,0,0,0,0,0,0,0,0,0,0,0,77.12745078,59.29779066,65.02790684,100.1568465,169.0518261
SedimentvOTU53,0,0,0,0,0,0,0,0,0,0,0,0,209.926927,122.0742702,197.5808089,257.332984,425.8808333
SedimentvOTU54,0,0,0,0,0,0,0,0,0,0,0,0,147.3642819,87.1184467,179.206945,172.4063359,424.8330898
SedimentvOTU55,0,0,0,0,0,0,0,0,0,0,0,0,95.13175262,119.1787065,207.9101813,236.9627479,222.9911257
SedimentvOTU56,0,0,0,0,0,0,0,0,0,0,0,0,148.2456015,117.5770619,153.1754128,227.6411995,444.1875547
SedimentvOTU57,0,0,0,0,0,0,0,0,0,0,0,0,94.48606223,78.9605467,160.2556384,207.3397089,337.9735316
SedimentvOTU58,0,0,0,0,0,0,0,0,0,0,0,0,45.1327414,0,59.03790752,68.35338586,194.0173276
SedimentvOTU59,0,0,0,0,0,0,0,0,0,0,0,0,56.38212104,0,55.19443821,74.69939284,210.0708921
SedimentvOTU60,0,0,0,0,0,0,0,0,0,0,0,0,565.5767046,332.2283646,535.3821676,726.0353926,1182.410315
SedimentvOTU61,0,0,0,0,0,0,0,0,0,0,0,0,126.0182931,90.52923076,111.9744381,134.3164314,195.4188519
SedimentvOTU62,0,0,0,0,0,0,0,0,0,0,0,0,176.3531828,163.4148552,263.3674229,349.1399782,683.7013899
SedimentvOTU63,0,0,0,0,0,0,0,0,0,0,0,0,540.5168128,311.551201,588.4216893,739.9351611,1217.375281
SedimentvOTU64,0,0,0,0,0,0,0,0,0,0,0,0,311.4407151,196.8186044,379.2586474,434.744623,808.5906923
SedimentvOTU65,0,0,0,0,0,0,0,0,0,0,0,0,178.6175657,153.9141232,235.2578393,339.9803312,615.3664472
SedimentvOTU66,0,0,0,0,0,0,0,0,0,0,0,0,100.7988477,47.10494798,84.85654797,107.0052231,207.328915
SedimentvOTU67,0,0,0,0,0,0,0,0,0,0,0,0,200.8796719,115.9279335,170.2863064,226.2151277,403.4780417
SedimentvOTU68,0,0,0,0,0,0,0,0,0,0,0,0,0,33.07716612,67.10845452,121.7418738,237.433642
SedimentvOTU69,0,0,0,0,0,0,81.84050493,112.193702,0,0,0,0,1375.398617,802.5973412,1163.738869,1590.283482,1514.392864
SedimentvOTU70,0,0,0,0,0,0,0,0,0,0,0,0,77.49862602,53.23791258,95.06435151,91.8139967,224.8391232
SedimentvOTU71,0,0,0,0,0,0,0,0,0,0,0,0,170.4712451,117.9113658,163.2696177,192.3753767,286.8039857
SedimentvOTU72,0,0,0,0,0,0,0,0,0,0,0,0,477.8967449,682.9533952,923.8035451,1506.312317,1298.64075
SedimentvOTU73,0,47.40522062,92.0061533,130.3212308,0,43.92708125,106.5814925,65.97997868,0,0,0,0,88.36862049,67.23577373,66.10748027,95.87614497,123.6853418
SedimentvOTU74,0,0,0,0,0,0,0,0,0,0,0,0,42.23326219,26.93420279,57.40878605,80.30323536,128.8161083
SedimentvOTU75,0,0,59.08006051,0,0,0,50.59129713,74.17713712,0,0,0,0,240.1477904,128.8543095,206.2697463,290.1553167,294.5883212
SedimentvOTU76,0,0,0,0,0,0,0,0,0,0,0,0,142.2714599,53.21622472,130.0429271,153.8379927,334.6386337
SedimentvOTU77,0,0,0,0,0,0,0,0,0,0,0,0,85.2146446,48.11897257,85.60302205,96.11575242,199.3868785
SedimentvOTU78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.94924856,120.4849191
SedimentvOTU79,0,0,0,0,0,0,0,0,0,0,0,0,261.4979851,215.8786797,295.0414027,304.7314245,422.7079455
SedimentvOTU80,0,0,0,0,0,0,0,0,0,0,0,0,36.88205335,0,84.08365452,53.29354684,291.2640876
SedimentvOTU81,0,0,0,0,0,0,0,0,0,0,0,0,249.2227732,122.9489055,211.9052429,318.2900599,460.0677215
